"intervention","coefficients","ci.lower","ci.upper","est"
"school_close_state",NA,NA,NA,"NA (NA, NA)"
"lifestyle_close",NA,NA,NA,"NA (NA, NA)"
"lv3_stay_home",NA,NA,NA,"NA (NA, NA)"
"face_mask",NA,NA,NA,"NA (NA, NA)"
"daycare_close",NA,NA,NA,"NA (NA, NA)"
"ban_nursing_home_visit",NA,NA,NA,"NA (NA, NA)"
"suspend_medical",NA,NA,NA,"NA (NA, NA)"
"log10_popsize",NA,NA,NA,"NA (NA, NA)"
"prop_white",NA,NA,NA,"NA (NA, NA)"
"med_age",NA,NA,NA,"NA (NA, NA)"
"prop_belowCollege",NA,NA,NA,"NA (NA, NA)"
"percent_poverty",NA,NA,NA,"NA (NA, NA)"
"log10_popdense",NA,NA,NA,"NA (NA, NA)"
"med_income",NA,NA,NA,"NA (NA, NA)"
