"intervention","coefficients","ci.lower","ci.upper","est"
"earliest_date_school_closed",0.585327436206314,0.556400060935723,0.615758752793228,"0.41 (0.38, 0.44)"
"lifestyle_close",0.836625843659379,0.815957913245123,0.857817285569356,"0.16 (0.14, 0.18)"
"lv3_stay_home",0.852253558774227,0.834640009777088,0.870238809468673,"0.15 (0.13, 0.17)"
"face_mask",0.806991423669335,0.788474866848168,0.825942823617312,"0.19 (0.17, 0.21)"
"daycare_close",0.66843673841321,0.631105666902449,0.7079760120892,"0.33 (0.29, 0.37)"
"ban_nursing_home_visit",0.734215676845528,0.706105013785263,0.763445450182961,"0.27 (0.24, 0.29)"
"suspend_medical",1.01353221310622,0.988314761067941,1.03939310376583,"-0.01 (-0.04, 0.01)"
"log10_popsize",1.16233927817129,1.11381257252208,1.21298020053816,"-0.16 (-0.21, -0.11)"
"prop_white",0.981438814127159,0.974977228006336,0.987943223909908,"0.02 (0.01, 0.03)"
"med_age",0.991801059659141,0.989569556427968,0.994037594983954,"0.01 (0.01, 0.01)"
"prop_belowCollege",1.04995186888666,1.03717752822726,1.06288354401856,"-0.05 (-0.06, -0.04)"
"percent_poverty",1.01213038304073,0.98490189852721,1.04011162310281,"-0.01 (-0.04, 0.02)"
"log10_popdense",1.01817611445535,0.982284194957567,1.05537949747036,"-0.02 (-0.06, 0.02)"
"med_income",0.916792636701252,0.819992115762536,1.02502051245702,"0.08 (-0.03, 0.18)"
