"intervention","coefficients","ci.lower","ci.upper","est"
"earliest_date_school_closed",0.767394026175177,0.733726993934104,0.802605868773907,"0.23 (0.20, 0.27)"
"lifestyle_close",0.857017747360451,0.837836295006437,0.87663834053064,"0.14 (0.12, 0.16)"
"lv3_stay_home",0.910491130041269,0.892953993305959,0.928372686721143,"0.09 (0.07, 0.11)"
"face_mask",0.908926097286758,0.89030537771281,0.927936268846655,"0.09 (0.07, 0.11)"
"daycare_close",0.771833739574982,0.734057188043863,0.811554373759098,"0.23 (0.19, 0.27)"
"ban_nursing_home_visit",0.87524837112183,0.843180371454422,0.908535987181511,"0.12 (0.09, 0.16)"
"suspend_medical",0.98266604460711,0.961682513085422,1.00410742847521,"0.02 (-0.00, 0.04)"
"log10_popsize",1.14466708657691,1.10796027105033,1.18259000194147,"-0.14 (-0.18, -0.11)"
"prop_white",0.985168927207804,0.979010676553268,0.991365914979342,"0.01 (0.01, 0.02)"
"med_age",0.993280490886411,0.99141357823641,0.995150919085241,"0.01 (0.00, 0.01)"
"prop_belowCollege",1.04068503482583,1.02937236773141,1.05212202664549,"-0.04 (-0.05, -0.03)"
"percent_poverty",1.00850129057837,0.983483792073346,1.03415517499691,"-0.01 (-0.03, 0.02)"
"log10_popdense",1.02347115620049,0.993300689678729,1.05455801899539,"-0.02 (-0.05, 0.01)"
"med_income",0.98203346641609,0.883826991197149,1.0911521584727,"0.02 (-0.09, 0.12)"
