"intervention","coefficients","ci.lower","ci.upper","Model","variables","seed"
"log10_popsize",1.4292578278089,1.354046900533,1.5086463678244,"GEE","Census",1000001
"med_income",0.812010931633986,0.690847539267874,0.954424407144669,"GEE","Census",1000001
"percent_poverty",1.05521671617987,1.01544516895149,1.09654598017849,"GEE","Census",1000001
"med_age",0.991272749774595,0.988361937701639,0.994192134442873,"GEE","Census",1000001
"prop_white",0.962240109407413,0.953522553373919,0.971037365478341,"GEE","Census",1000001
"prop_belowCollege",1.03538192978236,1.01833652395591,1.05271264979814,"GEE","Census",1000001
"log10_popdense",0.977237416820896,0.93215490887275,1.02450028395993,"GEE","Census",1000001
"face_mask",0.835702912687207,0.808860787080671,0.863435796899656,"GEE","Intervention",1000001
"suspend_medical",0.993730731066432,0.960297551281397,1.02832790164687,"GEE","Intervention",1000001
"ban_nursing_home_visit",0.773851076313527,0.727466079267873,0.823193692981927,"GEE","Intervention",1000001
"earliest_date_school_closed",0.827468256534473,0.7589933439051,0.902120843444198,"GEE","Intervention",1000001
"daycare_close",0.688135878006878,0.624157755469766,0.758671958251802,"GEE","Intervention",1000001
"lv3_stay_home",0.872477313947722,0.847311636958903,0.898390427028152,"GEE","Intervention",1000001
"lifestyle_close",0.860808037959203,0.83106677299108,0.891613649223738,"GEE","Intervention",1000001
"log10_popsize",1.33184602128148,1.26535561897212,1.40183028218125,"OLS","Census",1000001
"med_income",0.856833596564971,0.72452900086159,1.01329803407374,"OLS","Census",1000001
"percent_poverty",1.04099485704834,1.00259210281103,1.08086856994259,"OLS","Census",1000001
"med_age",0.992604767263841,0.989849907735182,0.995367293865015,"OLS","Census",1000001
"prop_white",0.971401259435358,0.9619499460005,0.980945433549731,"OLS","Census",1000001
"prop_belowCollege",1.03092918005787,1.01376417456161,1.04838482258893,"OLS","Census",1000001
"log10_popdense",0.985108315597568,0.939172068659045,1.03329136996703,"OLS","Census",1000001
"face_mask",0.902515137473538,0.874561564208797,0.931362189585562,"OLS","Intervention",1000001
"suspend_medical",0.972337617470416,0.941143405904702,1.00456576162186,"OLS","Intervention",1000001
"ban_nursing_home_visit",0.87576731443641,0.826029357092968,0.928500158558943,"OLS","Intervention",1000001
"earliest_date_school_closed",0.946526960279346,0.883616176033227,1.01391680102286,"OLS","Intervention",1000001
"daycare_close",0.771993856702707,0.711510800788135,0.837618366617292,"OLS","Intervention",1000001
"lv3_stay_home",0.906040293296063,0.879679606240489,0.933190910932171,"OLS","Intervention",1000001
"lifestyle_close",0.87310647232295,0.844070950794774,0.903140797932251,"OLS","Intervention",1000001
"log10_popsize",1.49917879636969,1.41773283073929,1.58530367270431,"GEE","Census",1000002
"med_income",0.766005867518533,0.649114529430855,0.90394678052777,"GEE","Census",1000002
"percent_poverty",1.05169318127688,1.01172562258644,1.09323963222034,"GEE","Census",1000002
"med_age",0.990564105655027,0.987576535752816,0.993560713412631,"GEE","Census",1000002
"prop_white",0.957557559797809,0.948789759448051,0.966406383706484,"GEE","Census",1000002
"prop_belowCollege",1.0416272941108,1.02391311572206,1.05964793611561,"GEE","Census",1000002
"log10_popdense",0.981673235190645,0.934856167936189,1.03083487464934,"GEE","Census",1000002
"face_mask",0.833950178582023,0.806936620874256,0.861868060472327,"GEE","Intervention",1000002
"suspend_medical",0.985063307115562,0.951550441551777,1.01975646970749,"GEE","Intervention",1000002
"ban_nursing_home_visit",0.792361247700954,0.749263141112664,0.837938385606249,"GEE","Intervention",1000002
"earliest_date_school_closed",0.816936921668089,0.759611473562321,0.878588537972866,"GEE","Intervention",1000002
"daycare_close",0.796480967391534,0.728384415787433,0.870943855561687,"GEE","Intervention",1000002
"lv3_stay_home",0.859216663560742,0.833900207648229,0.88530170417211,"GEE","Intervention",1000002
"lifestyle_close",0.871201232904644,0.840107368993232,0.903445935873807,"GEE","Intervention",1000002
"log10_popsize",1.39914000919835,1.32729696442823,1.47487172637575,"OLS","Census",1000002
